group,name,radius
3,Disney,65
3,Expedia,5
3,Marvell,3
2,Booking,6
2,Lufthansa,13
2,SW Airlines,9
1,Hilton,4
1,Hayatt,2
9,Google,182
9,Apple,274
9,Microsoft,143
9,Amazon,386
9,Facebook,85
9,PayPal,21
5,Nike,37
5,Asos,6
6,Nestle,84
6,McDonalds,19
6,CocaCola,33
7,Johnson&J,82
7,Pfizer,41
4,Tesla,31
4,JP Morgan, 119
