group,name,radius
3,Disney,69
3,Expedia,12
3,Marvell,5
2,Booking,15
2,Lufthansa,36
2,SW Airlines,22
1,Hilton,9
1,Hayatt,5
9,Google,161
9,Apple,260
9,Microsoft,125
9,Amazon,280
9,Facebook,70
9,PayPal,17
5,Nike,39
5,Asos,5
6,Nestle,92
6,McDonalds,21
6,CocaCola,37
7,Johnson&J,80
7,Pfizer,51
4,Tesla,24
4,JP Morgan, 115
